job_titles,company_names,company_locations,work_methods,post_dates,work_times
Data Analyst,Globalfaces Direct,"Globalfaces Direct · North York, ON · 1 month ago · Over 100 applicants","CA$55,000/yr - CA$60,000/yr",1 month ago,On-site
Data Analytics Analyst,Aramark Canada,"Aramark Canada · Mississauga, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Data Analyst,Tundra Technical Solutions,"Tundra Technical Solutions · North Vancouver, BC · 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Power BI Analyst/Specialist,"V-Soft Consulting Group, Inc.","V-Soft Consulting Group, Inc. · Ottawa, ON · 1 week ago · 74 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Quantitative Analyst,Affirm,"Affirm · Hamilton, ON · Reposted 1 day ago · 57 applicants",Remote,Reposted 1 day ago,Full-time
Junior Data Analyst,ROSEN,"ROSEN · Calgary, AB · Reposted 5 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 5 days ago,Full-time
"Expert, Data Analysis- EN",CN,"CN · Montreal, QC · 1 week ago · 40 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
"Data Analyst, Business Intelligence",Bell,"Bell · Mississauga, ON · Reposted 1 day ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 day ago,Full-time
Retail Business Intelligence Analyst,ARI,"ARI · Dorval, QC · 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
"Analyst, Data Science - Supply Chain",RONA,"RONA · Boucherville, QC · 5 days ago · 36 applicants","On-site
Matches your job preferences, workplace type is On-site.",5 days ago,On-site
Senior Data Analyst,UST,"UST · Toronto, ON · Reposted 1 week ago · 67 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Business Data Analyst,ALOIS Solutions,"ALOIS Solutions · Toronto, ON · 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
Master Data Analyst,Gay Lea Foods,"Gay Lea Foods · Mississauga, ON · Reposted 3 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 3 weeks ago,Hybrid
Marketing Data Insights Analyst,theScore,"theScore · Toronto, ON · Reposted 2 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
Data Analyst,"LanceSoft, Inc.","LanceSoft, Inc. · Montreal, QC · Reposted 6 days ago · 71 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 6 days ago,Hybrid
Senior Data Insights Analyst,CARFAX Canada,"CARFAX Canada · London, ON · Reposted 1 month ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 month ago,On-site
"ICQA Data Analyst, YYZ7",Amazon,"Amazon · Bolton, ON · Reposted 1 week ago · 45 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Analyste de données,C.A.T. Inc.,"C.A.T. Inc. · Coteau-du-Lac, QC · 6 days ago · 59 applicants","On-site
Matches your job preferences, workplace type is On-site.",6 days ago,On-site
Analyste BI senior,CGI,"CGI · Montreal, QC · Reposted 2 days ago · 53 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 days ago,Full-time
ICQA Data Analyst,Amazon,"Amazon · Hamilton, ON · Reposted 1 week ago · 39 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Business Intelligence Analyst,ERCO Worldwide,"ERCO Worldwide · Mississauga, ON · 2 weeks ago · 86 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 weeks ago,On-site
Data Analyst (Procurement),Symcor,"Symcor · Mississauga, ON · 2 weeks ago · 96 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Associate Business Intelligence Analyst,CDW Canada,"CDW Canada · Edmonton, AB · 6 days ago · 64 applicants","Full-time
Matches your job preferences, job type is Full-time.",6 days ago,Full-time
Analyste BI,DELAN - Chasseurs de Talents en TI,"DELAN - Chasseurs de Talents en TI · Laval, QC · Reposted 6 days ago · 86 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 6 days ago,Hybrid
Forecasting Analyst,TD,"TD · Toronto, ON · 2 days ago · 76 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
Data Governance Analyst,H&R Block Canada,"H&R Block Canada · Calgary, AB · 3 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 weeks ago,Hybrid
Data Analyst,Lyft,"Lyft · Toronto, ON · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Associate Business Intelligence Analyst,CDW Canada,"CDW Canada · Calgary, AB · 6 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",6 days ago,Full-time
Data Analyst IV,Agilus Work Solutions,"Agilus Work Solutions · Calgary, AB · 3 days ago · 34 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
Business Intelligence Consultant,Modis,"Modis · Toronto, ON · 1 week ago · 86 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Customer Insights Analyst,Sofina Foods Inc.,"Sofina Foods Inc. · Markham, ON · 2 weeks ago · 79 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
"Senior Data Analyst, Sustainability",GEOTAB,"GEOTAB · Oakville, ON · Reposted 1 day ago · 52 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 day ago,Hybrid
Associate Business Intelligence Analyst,CDW Canada,"CDW Canada · Toronto, ON · 6 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",6 days ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Kelowna, BC · Reposted 1 day ago · 18 applicants",Remote,Reposted 1 day ago,Full-time
Quantitative Analyst,Affirm,"Affirm · St John’s, NL · Reposted 1 day ago · 17 applicants",Remote,Reposted 1 day ago,Full-time
Information Analyst,York University,"York University · Toronto, ON · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
