job_titles,company_names,company_locations,work_methods,post_dates,work_times
Senior Data Analyst,Equitable,"Equitable · Waterloo, ON · 1 day ago · 37 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Analyst,INNOCEAN Canada,"INNOCEAN Canada · Toronto, ON · 1 week ago · 1,515 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Vaughan, ON · 1 week ago · 256 applicants",Remote,1 week ago,Hybrid
Senior Data Analyst (Fixed Term),Sun Life,"Sun Life · Waterloo, ON · 1 day ago · 23 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 day ago,Full-time
Data Analyst Advisory,Scotiabank,"Scotiabank · Toronto, ON · Reposted 1 day ago · 525 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 day ago,Hybrid
Data Analyst - 4 month contract,Toronto Metropolitan University,"Toronto Metropolitan University · Toronto, ON · Reposted 1 day ago · 538 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 day ago,Hybrid
Data Analyst,DataAnnotation,"DataAnnotation · Canada · Reposted 2 days ago · 1,953 applicants",Remote,Reposted 2 days ago,Hybrid
Data Analyst,Equitable,"Equitable · Waterloo, ON · 1 day ago · 96 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
"Analyst, Data Mgmt & Governance",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 3 days ago · 139 applicants","Full-time
Matches your job preferences, job type is Full-time.",3 days ago,Full-time
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Nova Scotia, Canada · Reposted 1 week ago · 76 applicants",Remote,Reposted 1 week ago,Full-time
"Business Intelligence Analyst, HR Analytics & Reporting",Metrolinx,"Metrolinx · Greater Toronto Area, Canada · 6 days ago · 173 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",6 days ago,Hybrid
Senior Data Analyst,Samsung Electronics,Samsung Electronics · Greater Vancouver Metropolitan Area · 2 weeks ago · 286 applicants,"Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
